,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,Artist,TrackName,t_id,popularity,Target
47,0.814,https://api.spotify.com/v1/audio-analysis/5zvHAHD3c6xgYlQuhj5Yw6,0.508,237733,0.401,5zvHAHD3c6xgYlQuhj5Yw6,0.018,0,0.107,-7.856,0,0.0333,117.985,4,https://api.spotify.com/v1/tracks/5zvHAHD3c6xgYlQuhj5Yw6,audio_features,spotify:track:5zvHAHD3c6xgYlQuhj5Yw6,0.208,Kath Bloom,Pass Through Here,5zvHAHD3c6xgYlQuhj5Yw6,5,0
48,0.00589,https://api.spotify.com/v1/audio-analysis/1vffte5WTHIik37ePfJdo4,0.884,234693,0.657,1vffte5WTHIik37ePfJdo4,0.0,6,0.154,-4.569,0,0.0977,107.059,4,https://api.spotify.com/v1/tracks/1vffte5WTHIik37ePfJdo4,audio_features,spotify:track:1vffte5WTHIik37ePfJdo4,0.489,Kendrick Lamar,King Kunta,1vffte5WTHIik37ePfJdo4,16,0
49,0.0846,https://api.spotify.com/v1/audio-analysis/0MOaqn7aBYwXOnQ08GEpDA,0.778,194490,0.781,0MOaqn7aBYwXOnQ08GEpDA,0.0,7,0.629,-5.579,1,0.204,110.057,4,https://api.spotify.com/v1/tracks/0MOaqn7aBYwXOnQ08GEpDA,audio_features,spotify:track:0MOaqn7aBYwXOnQ08GEpDA,0.682,Kendrick Lamar,Alright,0MOaqn7aBYwXOnQ08GEpDA,1,0
50,0.689,https://api.spotify.com/v1/audio-analysis/0NeJjNlprGfZpeX2LQuN6c,0.658,238560,0.179,0NeJjNlprGfZpeX2LQuN6c,0.0,8,0.17,-10.866,1,0.0448,128.128,4,https://api.spotify.com/v1/tracks/0NeJjNlprGfZpeX2LQuN6c,audio_features,spotify:track:0NeJjNlprGfZpeX2LQuN6c,0.191,Leon Bridges,River,0NeJjNlprGfZpeX2LQuN6c,71,0
51,0.106,https://api.spotify.com/v1/audio-analysis/18xEmZ6by9p9ooGLXvQKtv,0.472,288392,0.558,18xEmZ6by9p9ooGLXvQKtv,0.00109,4,0.359,-8.036,0,0.0704,126.864,3,https://api.spotify.com/v1/tracks/18xEmZ6by9p9ooGLXvQKtv,audio_features,spotify:track:18xEmZ6by9p9ooGLXvQKtv,0.313,Mavis Staples,Your Good Fortune,18xEmZ6by9p9ooGLXvQKtv,19,0
52,0.0202,https://api.spotify.com/v1/audio-analysis/2fv00qmva1kpCctrKgoIer,0.847,183173,0.351,2fv00qmva1kpCctrKgoIer,0.116,10,0.0509,-6.637,0,0.156,92.951,4,https://api.spotify.com/v1/tracks/2fv00qmva1kpCctrKgoIer,audio_features,spotify:track:2fv00qmva1kpCctrKgoIer,0.78,Nao,Inhale Exhale,2fv00qmva1kpCctrKgoIer,49,0
53,0.1,https://api.spotify.com/v1/audio-analysis/5OP4XBFDeo9PJS65JJ5VL0,0.613,285584,0.756,5OP4XBFDeo9PJS65JJ5VL0,0.0,4,0.139,-5.001,0,0.0961,82.991,4,https://api.spotify.com/v1/tracks/5OP4XBFDeo9PJS65JJ5VL0,audio_features,spotify:track:5OP4XBFDeo9PJS65JJ5VL0,0.326,Nechi Nech,חסידה צחורה,5OP4XBFDeo9PJS65JJ5VL0,26,0
54,0.407,https://api.spotify.com/v1/audio-analysis/178yi3jvbIHwnaxeAVUCD9,0.423,252253,0.858,178yi3jvbIHwnaxeAVUCD9,0.000661,1,0.806,-6.002,1,0.0564,90.056,4,https://api.spotify.com/v1/tracks/178yi3jvbIHwnaxeAVUCD9,audio_features,spotify:track:178yi3jvbIHwnaxeAVUCD9,0.522,Panda Bear,Boys Latin,178yi3jvbIHwnaxeAVUCD9,44,0
55,0.292,https://api.spotify.com/v1/audio-analysis/7yj6i3TaFhBvxbLGejrvfw,0.676,268461,0.654,7yj6i3TaFhBvxbLGejrvfw,1.08e-05,5,0.137,-5.229,0,0.0373,80.003,4,https://api.spotify.com/v1/tracks/7yj6i3TaFhBvxbLGejrvfw,audio_features,spotify:track:7yj6i3TaFhBvxbLGejrvfw,0.563,PREP,Cheapest Flight,7yj6i3TaFhBvxbLGejrvfw,58,0
56,0.0117,https://api.spotify.com/v1/audio-analysis/6Tr7kvkbSd4ZKNTn6oynr7,0.503,237714,0.867,6Tr7kvkbSd4ZKNTn6oynr7,0.0,8,0.0729,-3.543,1,0.27,104.923,4,https://api.spotify.com/v1/tracks/6Tr7kvkbSd4ZKNTn6oynr7,audio_features,spotify:track:6Tr7kvkbSd4ZKNTn6oynr7,0.658,Saad Lamjarred,Lamaallem,6Tr7kvkbSd4ZKNTn6oynr7,50,0
57,0.00349,https://api.spotify.com/v1/audio-analysis/6ZYXV1DwLbZXiQxliWbvDY,0.484,181465,0.844,6ZYXV1DwLbZXiQxliWbvDY,4.4e-06,7,0.523,-3.364,1,0.272,89.699,4,https://api.spotify.com/v1/tracks/6ZYXV1DwLbZXiQxliWbvDY,audio_features,spotify:track:6ZYXV1DwLbZXiQxliWbvDY,0.705,Sampa the Great,Revolution,6ZYXV1DwLbZXiQxliWbvDY,25,0
58,0.326,https://api.spotify.com/v1/audio-analysis/5MmzhAmcfL3mI30R7xKLw1,0.558,171458,0.891,5MmzhAmcfL3mI30R7xKLw1,3.58e-05,4,0.23,-4.629,1,0.398,105.623,4,https://api.spotify.com/v1/tracks/5MmzhAmcfL3mI30R7xKLw1,audio_features,spotify:track:5MmzhAmcfL3mI30R7xKLw1,0.541,Sampa the Great,Class Trip,5MmzhAmcfL3mI30R7xKLw1,26,0
